0.0 2859064861940 777.6720128794558
0.005 2835068227656 771.1376260854775
0.01 2811149791540 764.6214103123929
0.015 2787598670428 758.2160185415916
0.02 2764213901092 751.8536731089437
0.025 2740842209032 745.450143196644
0.03 2718015365344 739.2306518507949
0.035 2695316863348 733.0687010109316
0.04 2672759987432 726.8956260487187
0.045 2650354684596 720.7823717093522
0.05 2627917258420 714.6592153758708
0.055 2606077462588 708.7355301938532
0.06 2584355244820 702.8537375912564
0.065 2562759816148 697.1025451913736
0.07 2541473096656 691.2923899514649
0.075 2520321784732 685.5263837963873
0.08 2499375244072 679.8322441459303
0.085 2478664454772 674.176403286335
0.09 2458058429560 668.5917462313233
0.095 2437883722056 663.1496452056746
0.1 2417793071180 657.6786857844088
0.105 2397868719132 652.2184263318983
0.11 2377880894276 646.7889835931752
0.115 2358131046844 641.3964287278661
0.12 2338687029624 636.0860102168721
0.125 2319304951080 630.8368809270562
0.13 2300251820876 625.5970607073853
0.135 2281386835536 620.4638759606962
0.14 2262429328444 615.2752698925179
0.145 2243667965284 610.1971197389377
0.15 2225203924064 605.2378906055751
0.155 2207004561424 600.2887697403112
0.16 2188868776036 595.3487039445441
0.165 2170895136872 590.508638347987
0.17 2152955501460 585.6338762510461
0.175 2135142937132 580.8446258444682
0.18 2117670820192 576.1427719720205
0.185 2100423121684 571.4926225391288
0.19 2083178488088 566.8091209133353
0.195 2066131948952 562.1671612685333
0.2 2049358312848 557.5937271042975
0.205 2032642290640 553.0214312580827
0.21 2016129872916 548.5157217019884
0.215 1999627825076 544.038038112044
0.22 1983369221808 539.6347104184322
0.225 1967205012764 535.2457905706891
0.23 1951150035004 530.849567529058
0.235 1935192732736 526.5328969214955
0.24 1919427091196 522.2684676965533
0.245 1903997944352 518.0389981346004
0.25 1888554878640 513.8467557144711
0.255 1873224262128 509.67051570208776
0.26 1857987561172 505.4766710659564
0.265 1842966975728 501.3846346522129
0.27 1828063271904 497.3554908061193
0.275 1813307624036 493.3492146619778
0.28 1798821124444 489.4079376819877
0.285 1784357434928 485.45828756463305
0.29 1770129555236 481.6051369284676
0.295 1755884826528 477.6750462834315
0.3 1741730191636 473.8592441849032
0.305 1727570015292 469.9817021876276
0.31 1713637825624 466.16581531333867
0.315 1700002701628 462.48109378676276
0.32 1686372334660 458.7644788169083
0.325 1672790677120 455.1081109168813
0.33 1659453764548 451.45970737495446
0.335 1646188344072 447.8462843377529
0.34 1633086195152 444.3077602277965
0.345 1620026693512 440.80978450651645
0.35 1607171640228 437.318047009407
0.355 1594313895308 433.79844840292833
0.36 1581661151324 430.377084339398
0.365 1569058702652 426.94456429762596
0.37 1556565590368 423.59544806215393
0.375 1544246381444 420.2849317852317
0.38 1532042914920 416.92600457460463
0.385 1519920184148 413.63768878844206
0.39 1508004037916 410.43514598779285
0.395 1496248495500 407.2207290412337
0.4 1484364892264 403.9589303278377
0.405 1472557587392 400.76070778850624
0.41 1460999609300 397.57364507604257
0.415 1449576243916 394.4525611676569
0.42 1438118033368 391.32100856319346
0.425 1426889278176 388.2722995044855
0.43 1415726231740 385.23267087563994
0.435 1404587481052 382.1943168302337
0.44 1393647997260 379.2431975162572
0.445 1382661131828 376.25497328363826
0.45 1371826237652 373.2840664425925
0.455 1361053066956 370.3424205697842
0.46 1350317169548 367.4299822275419
0.465 1339717152280 364.5483330044461
0.47 1329358626080 361.72184285571353
0.475 1318900808972 358.89005442772947
0.48 1308576822272 356.10508287099844
0.485 1298370394552 353.32015015900646
0.49 1288340775672 350.55013384149686
0.495 1278452043072 347.86608124601287
0.5 1268580381536 345.14216338555195
0.505 1258690138472 342.443861758666
0.51 1248916717776 339.8152359965522
0.515 1239285949216 337.2323428864711
0.52 1229628027884 334.6133251286971
0.525 1220186703592 332.04091968107105
0.53 1210772728936 329.4642631940901
0.535 1201440404560 326.92583402650195
0.54 1192144717800 324.37312613320057
0.545 1182941489968 321.8717712869595
0.55 1173806040876 319.3777554739987
0.555 1164869721680 316.91020745113275
0.56 1155984535372 314.48165912577
0.565 1147179475148 312.11867775520443
0.57 1138456339324 309.77761335664985
0.575 1129730430452 307.3880408352593
0.58 1121052161284 305.0573369961184
0.585 1112555821864 302.7547373176101
0.59 1104065640892 300.4317877664624
0.595 1095658720344 298.1472238619095
